ordem,pid,moradia_classe,moradia_zoneamento,lote_fachada,lote_area,rua_tipo,beco_tipo,lote_formato,terreno_contorno,utilidades,lote_config,terreno_declive,vizinhanca,condicao_1,condicao_2,moradia_tipo,moradia_estilo,geral_qualidade,geral_condicao,construcao_ano,remodelacao_ano,telhado_estilo,telhado_material,exterior_cobertura_1,exterior_cobertura_2,alvenaria_tipo,alvenaria_area,exterior_qualidade,exterior_condicao,fundacao_tipo,porao_qualidade,porao_condicao,porao_exposicao,porao_acabamento_1,porao_area_com_acabamento_1,porao_acabamento_2,porao_area_com_acabamento_2,porao_area_sem_acabamento,porao_area_total,porao_num_banheiros,porao_num_banheiros_lavabos,aquecimento_tipo,aquecimento_qualidade_condicao,ar_condicionado_central,sistema_eletrico_tipo,primeiro_andar_area,segundo_andar_area,acabamento_baixa_qualidade_area,acima_solo_area,acima_solo_num_banheiros,acima_solo_num_lavabos,acima_solo_num_quartos,acima_solo_num_cozinhas,cozinha_qualidade,acima_solo_num_comodos,funcional,total_num_lareiras,lareira_qualidade,garagem_tipo,garagem_ano_construcao,garagem_acabamento,garagem_capacidade_carros,garagem_area,garagem_qualidade,garagem_condicao,entrada_veiculo_pavimentada,deck_madeira_area,varanda_aberta_area,varanda_fechada_area,varanda_3ssn_area,varanda_com_tela_area,piscina_area,piscina_qualidade,cerca_qualidade,funcionalidades_diversas,funcionalidades_valor,venda_mes,venda_ano,venda_tipo,venda_condicao,venda_valor,
702,702,902109140,duplex - todas os estilos e idades,Residencial média densidade,60,7596,pavimentada,cascalho,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,adjacente a rua arterial,normal,duplex,dois andares,média,média,1952,1952,quadril,telha padrão (composto),tapume de madeira,tapume de madeira,face de tijolo,360,m\u00e9dia,média,bloco de concreto,média,média,No,não finalizado,0,não finalizado,0,960,960,0,0,forno de ar quente a gás,boa,Y,disjuntores padrão e Romex,960,1000,0,1960,2,0,4,2,média,10,funcionalidade típica,0,NA,garagem não anexada à casa,1952,não terminada,2,400,média,média,N,0,0,0,0,0,0,NA,NA,NA,0,7,2009,escritura / propriedade do oficial de justiça,venda normal,124500
703,703,902110080,60,Residencial média densidade,60,3378,pavimentada,cascalho,regular,encosta,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,família única,dois andares,boa,muito boa,1946,1992,duas águas,telha padrão (composto),placa dura,placa dura,nenhum,0,m\u00e9dia,boa,bloco de concreto,média,média,No,não finalizado,0,não finalizado,0,651,651,0,0,forno de ar quente a gás,boa,Y,disjuntores padrão e Romex,707,682,0,1389,1,1,3,1,média,6,funcionalidade típica,2,boa,garagem não anexada à casa,1947,não terminada,1,240,média,média,parcialmente pavimentada,0,0,126,0,0,0,NA,NA,NA,0,9,2009,WD ,venda normal,135000
704,704,902134120,50,Residencial média densidade,56,10134,pavimentada,cascalho,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,família única,um andar e meio (segundo nível terminado),média,média,1910,1950,duas águas,telha padrão (composto),tapume de metal,tapume de metal,nenhum,0,m\u00e9dia,média,tijolo e telha,regular,média,No,não finalizado,0,não finalizado,0,801,801,0,0,forno de ar quente a gás,boa,N,disjuntores padrão e Romex,801,646,0,1447,1,0,3,1,média,6,funcionalidade típica,0,NA,NA,NA,NA,0,0,NA,NA,N,80,0,244,0,0,0,NA,NA,NA,0,7,2009,WD ,venda normal,103000
705,705,902135020,20,Residencial média densidade,60,6000,pavimentada,pavimentado,regular,bancada,todas as utilidades p\u00fablicas,lote interno,declive moderado,Old Town,normal,normal,conversão para 2 famílias,um andar,abaixo da média,abaixo da média,1953,1953,duas águas,telha padrão (composto),tapume de metal,tapume de metal,nenhum,0,regular,média,bloco de concreto,regular,média,No,não finalizado,0,não finalizado,0,936,936,0,0,forno de ar quente a gás,média,N,disjuntores padrão e Romex,936,0,0,936,1,0,2,1,média,4,deduções menores 2,0,NA,garagem não anexada à casa,1974,não terminada,2,576,média,média,Y,0,32,112,0,0,0,NA,NA,NA,0,2,2009,WD ,venda normal,93000
706,706,902201110,50,Residencial média densidade,50,6000,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,família única,um andar e meio (segundo nível terminado),média,boa,1950,1970,duas águas,telha padrão (composto),tapume de madeira,tapume de madeira,nenhum,0,m\u00e9dia,excelente,bloco de concreto,média,média,No,alojamento abaixo da média,384,não finalizado,0,384,768,0,0,forno de ar quente a gás,média,Y,caixa de fusíveis acima de 60 AMP e toda a fiação Romex (média),768,560,0,1328,1,1,3,1,média,6,funcionalidade típica,0,NA,garagem não anexada à casa,1950,não terminada,1,308,média,média,Y,0,12,0,0,0,0,NA,mínima privacidade,NA,0,3,2009,WD ,venda normal,129500
707,707,902202150,conversão para 2 famílias - todos os estilos e idades,Residencial média densidade,50,6000,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,conversão para 2 famílias,um andar e meio (segundo nível terminado),média,abaixo da média,1954,1954,duas águas,telha padrão (composto),tapume de madeira,tapume de madeira,nenhum,0,m\u00e9dia,média,bloco de concreto,média,média,No,não finalizado,0,não finalizado,0,811,811,0,0,forno de ar quente a gás,média,Y,caixa de fusíveis acima de 60 AMP e toda a fiação Romex (média),811,576,0,1387,2,0,3,2,boa,7,funcionalidade típica,0,NA,embutida,1954,não terminada,1,256,média,média,Y,0,0,0,0,0,0,NA,NA,NA,0,11,2009,WD ,venda normal,93000
708,708,902204080,30,Residencial média densidade,62,7404,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Old Town,normal,normal,família única,um andar,abaixo da média,acima da média,1920,1950,duas águas,telha padrão (composto),tapume de metal,tapume de metal,nenhum,0,m\u00e9dia,média,tijolo e telha,regular,média,No,não finalizado,0,não finalizado,0,861,861,0,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,861,0,0,861,1,0,2,1,média,5,funcionalidade típica,0,NA,garagem não anexada à casa,1920,não terminada,2,288,média,média,N,0,0,128,0,0,0,NA,NA,NA,0,11,2009,outro,venda normal,80000
709,709,902205010,30,Residencial média densidade,50,5925,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Old Town,normal,normal,família única,um andar,ruim,abaixo da média,1940,1950,duas águas,telha padrão (composto),tapume de metal,tapume de metal,nenhum,0,m\u00e9dia,boa,tijolo e telha,NA,NA,NA,NA,0,NA,0,0,0,0,0,forno de ar quente a gás,regular,N,caixa de fusíveis acima de 60 AMP e toda a fiação Romex (média),612,0,0,612,1,0,1,1,média,4,funcionalidade típica,0,NA,garagem não anexada à casa,1965,não terminada,1,308,média,regular,N,0,0,25,0,0,0,NA,NA,NA,0,10,2009,WD ,venda normal,45000
710,710,902205030,50,Residencial média densidade,50,5925,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,família única,um andar e meio (segundo nível terminado),regular,acima da média,1910,1950,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,nenhum,0,m\u00e9dia,média,tijolo e telha,média,média,No,não finalizado,0,não finalizado,0,600,600,0,0,forno de gravidade,regular,N,disjuntores padrão e Romex,600,368,0,968,1,0,2,1,média,6,funcionalidade típica,0,NA,NA,NA,NA,0,0,NA,NA,Y,0,0,0,0,0,0,NA,boa madeira,NA,0,5,2009,WD ,venda anormal,37900
711,711,902206260,30,Residencial média densidade,50,5784,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,adjacente a rua arterial,normal,família única,um andar,média,muito boa,1938,1996,duas águas,telha padrão (composto),tapume de metal,tapume de metal,nenhum,0,m\u00e9dia,média,tijolo e telha,regular,média,No,não finalizado,0,não finalizado,0,190,190,0,0,forno de ar quente a gás,boa,Y,caixa de fusíveis acima de 60 AMP e toda a fiação Romex (média),886,0,0,886,1,0,2,1,média,4,funcionalidade típica,0,NA,anexada à casa,1938,não terminada,1,273,média,média,Y,144,20,80,0,0,0,NA,NA,NA,0,12,2009,WD ,venda normal,91300
712,712,902207170,30,Residencial média densidade,60,8520,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,família única,um andar,média,muito boa,1923,1950,duas águas,telha padrão (composto),reboco,reboco,nenhum,0,boa,média,concreto derrramado,regular,média,No,não finalizado,0,não finalizado,0,624,624,0,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,792,0,0,792,1,0,2,1,média,5,funcionalidade típica,0,NA,garagem não anexada à casa,1963,não terminada,1,287,média,média,Y,0,0,81,0,0,0,NA,boa madeira,NA,0,2,2009,WD ,venda normal,99500
713,713,902300090,conversão para 2 famílias - todos os estilos e idades,Residencial média densidade,33,4456,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,conversão para 2 famílias,dois andares,abaixo da média,média,1920,2008,duas águas,telha padrão (composto),tapume de metal,tapume de metal,nenhum,0,m\u00e9dia,média,tijolo e telha,média,média,No,não finalizado,0,não finalizado,0,736,736,0,0,forno de ar quente a gás,boa,Y,disjuntores padrão e Romex,736,716,0,1452,2,0,2,3,média,8,funcionalidade típica,0,NA,NA,NA,NA,0,0,NA,NA,N,0,0,102,0,0,0,NA,NA,NA,0,6,2009,casa recém-construída e vendida,casa não foi concluída na última avaliação,113000
714,714,902301060,70,Residencial média densidade,60,9600,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,família única,dois andares,abaixo da média,abaixo da média,1910,1950,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,nenhum,0,boa,boa,tijolo e telha,regular,média,No,não finalizado,0,não finalizado,0,677,677,0,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,833,677,0,1510,2,0,3,1,boa,7,funcionalidade típica,0,NA,garagem não anexada à casa,1974,não terminada,2,720,média,média,N,0,0,160,0,0,0,NA,NA,NA,0,6,2009,WD ,venda normal,87500
715,715,902301080,50,Residencial média densidade,50,3500,pavimentada,cascalho,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,família única,um andar e meio (segundo nível terminado),média,boa,1947,1950,duas águas,telha padrão (composto),telha de amianto,telha de amianto,nenhum,0,m\u00e9dia,média,bloco de concreto,média,média,No,baixa qualidade,312,não finalizado,0,408,720,0,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,720,564,0,1284,1,1,2,1,média,5,funcionalidade típica,0,NA,garagem não anexada à casa,1948,não terminada,1,240,média,média,Y,0,35,0,0,0,0,NA,mínima madeira/arame,NA,0,4,2009,WD ,venda normal,110000
716,716,902325070,75,Residencial média densidade,90,8100,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Old Town,normal,normal,família única,dois andares e meio (segundo nível não terminado),média,média,1898,1965,quadril,telha padrão (composto),telha de amianto,telha de amianto,nenhum,0,m\u00e9dia,média,concreto derrramado,média,média,No,não finalizado,0,não finalizado,0,849,849,0,0,forno de ar quente a gás,média,N,caixa de fusíveis acima de 60 AMP e toda a fiação Romex (média),1075,1063,0,2138,2,0,2,3,média,11,funcionalidade típica,0,NA,garagem não anexada à casa,1910,não terminada,2,360,regular,ruim,N,40,156,0,0,0,0,NA,mínima privacidade,NA,0,11,2009,WD ,venda normal,106000
717,717,902326030,70,Residencial média densidade,65,11700,pavimentada,pavimentado,levemente irregular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Old Town,normal,normal,família única,dois andares,boa,boa,1880,2003,mansarda,telha padrão (composto),reboco,reboco,nenhum,0,boa,média,pedra,média,regular,No,não finalizado,0,não finalizado,0,1240,1240,0,0,água quente a gás ou calor de vapor,média,N,disjuntores padrão e Romex,1320,1320,0,2640,1,1,4,1,boa,8,funcionalidade típica,1,boa,garagem não anexada à casa,1950,não terminada,4,864,média,média,N,181,0,386,0,0,0,NA,NA,NA,0,5,2009,WD ,venda normal,265979
718,718,902327070,70,Residencial média densidade,70,8400,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Old Town,adjacente a rua arterial,normal,família única,dois andares,acima da média,boa,1900,1950,duas águas,telha padrão (composto),reboco,face de tijolo,nenhum,0,m\u00e9dia,média,tijolo e telha,regular,boa,exposição mínima,não finalizado,0,não finalizado,0,917,917,0,0,forno de ar quente a gás,boa,Y,caixa de fusíveis acima de 60 AMP e toda a fiação Romex (média),1090,917,0,2007,2,0,3,1,excelente,8,funcionalidade típica,0,NA,garagem não anexada à casa,1930,não terminada,1,357,média,média,Y,0,235,0,0,0,0,NA,NA,NA,0,6,2009,WD ,venda normal,160000
719,719,902329080,70,Residencial média densidade,60,3600,pavimentada,cascalho,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,família única,dois andares,acima da média,boa,1917,2007,duas águas,telha padrão (composto),reboco,reboco,nenhum,0,m\u00e9dia,média,tijolo e telha,média,média,No,não finalizado,0,não finalizado,0,624,624,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,664,624,0,1288,1,0,3,1,excelente,5,funcionalidade típica,1,boa,anexada à casa,1917,não terminada,1,280,média,média,N,0,103,0,0,0,0,NA,NA,NA,0,5,2009,WD ,venda normal,119000
720,720,902330040,70,Residencial média densidade,121,17671,pavimentada,cascalho,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Old Town,adjacente a rua arterial,normal,família única,dois andares,muito boa,excelente,1882,1986,duas águas,telha padrão (composto),tapume de madeira,tapume de madeira,nenhum,0,boa,boa,tijolo e telha,média,média,No,alojamento abaixo da média,216,não finalizado,0,700,916,0,0,forno de ar quente a gás,boa,Y,disjuntores padrão e Romex,916,826,0,1742,1,1,4,1,boa,8,funcionalidade típica,1,boa,anexada à casa,1925,não terminada,2,424,média,média,parcialmente pavimentada,0,169,0,0,0,0,NA,NA,NA,0,11,2009,WD ,venda normal,168000
721,721,902331010,30,Comercial,NA,3300,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,família única,um andar,abaixo da média,regular,1910,1950,duas águas,telha padrão (composto),reboco,reboco,nenhum,0,m\u00e9dia,média,tijolo e telha,média,média,No,não finalizado,0,não finalizado,0,624,624,0,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,816,0,0,816,1,0,2,1,média,5,funcionalidade típica,1,boa,NA,NA,NA,0,0,NA,NA,N,0,33,0,0,0,0,NA,NA,NA,0,6,2009,WD ,venda normal,58500
722,722,902401130,70,Residencial média densidade,50,9000,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,adjacente a rua arterial,normal,família única,dois andares,boa,excelente,1920,1988,quadril,telha padrão (composto),tapume de vinil,tapume de vinil,nenhum,0,m\u00e9dia,boa,concreto derrramado,média,média,No,alojamento médio,624,não finalizado,0,26,650,0,1,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,832,650,0,1482,1,0,3,1,média,7,funcionalidade típica,0,NA,garagem não anexada à casa,1930,não terminada,2,324,média,média,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2009,WD ,venda normal,143000
723,723,902402150,30,Residencial média densidade,60,7200,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,família única,um andar,média,abaixo da média,1910,2006,quadril,telha padrão (composto),tapume de metal,reboco,nenhum,0,m\u00e9dia,média,tijolo e telha,média,média,No,alojamento médio,247,sala de recreação média,465,310,1022,1,0,água quente a gás ou calor de vapor,média,N,disjuntores padrão e Romex,1022,0,0,1022,1,0,2,1,média,4,deduções maiores 2,0,NA,garagem não anexada à casa,1956,não terminada,1,280,média,média,Y,0,30,226,0,0,0,NA,NA,NA,0,6,2009,WD ,venda normal,85000
724,724,902405100,50,Residencial média densidade,98,8820,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Old Town,normal,normal,família única,um andar e meio (segundo nível terminado),média,acima da média,1890,1996,quadril,telha padrão (composto),tapume de vinil,tapume de vinil,nenhum,0,m\u00e9dia,média,tijolo e telha,média,média,No,baixa qualidade,1088,não finalizado,0,0,1088,0,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,1188,561,120,1869,1,0,2,1,média,7,funcionalidade típica,0,NA,garagem não anexada à casa,1963,não terminada,2,456,média,média,Y,48,0,244,0,0,0,NA,mínima madeira/arame,NA,0,9,2009,WD ,venda normal,124900
725,725,902405120,50,Residencial média densidade,60,5400,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,família única,um andar e meio (segundo nível terminado),acima da média,acima da média,1920,1950,duas águas,telha padrão (composto),tapume de metal,tapume de metal,nenhum,0,regular,média,tijolo e telha,média,média,No,não finalizado,0,não finalizado,0,972,972,0,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1044,0,436,1480,1,0,3,1,média,6,funcionalidade típica,0,NA,garagem não anexada à casa,1920,não terminada,1,207,regular,média,Y,0,0,176,0,0,0,NA,NA,NA,0,9,2009,contrato de juros baixos,venda entre membros de família,119000
726,726,902406070,70,Residencial média densidade,60,9720,pavimentada,cascalho,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Old Town,normal,normal,família única,dois andares,acima da média,boa,1910,2002,duas águas,telha padrão (composto),tapume de metal,tapume de metal,nenhum,0,m\u00e9dia,média,concreto derrramado,média,média,No,não finalizado,0,não finalizado,0,741,741,0,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,780,741,0,1521,1,0,4,1,boa,8,funcionalidade típica,0,NA,garagem não anexada à casa,1950,não terminada,3,640,média,média,Y,0,0,238,0,0,0,NA,mínima privacidade,NA,0,9,2009,WD ,venda normal,146500
727,727,902477120,30,Comercial,60,7879,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Iowa DOT and Rail Road,normal,normal,família única,um andar,abaixo da média,média,1920,1950,duas águas,telha padrão (composto),tapume de madeira,tapume de madeira,nenhum,0,m\u00e9dia,média,bloco de concreto,média,média,No,sala de recreação média,495,não finalizado,0,225,720,0,0,forno de ar quente a gás,média,N,caixa de fusíveis acima de 60 AMP e toda a fiação Romex (média),720,0,0,720,1,0,2,1,média,4,funcionalidade típica,0,NA,NA,NA,NA,0,0,NA,NA,N,0,523,115,0,0,0,NA,boa madeira,NA,0,11,2009,WD ,venda anormal,34900
728,728,902477130,30,Comercial,72,9392,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Iowa DOT and Rail Road,normal,normal,família única,um andar,regular,regular,1900,1950,mansarda,telha padrão (composto),telha de amianto,telha de amianto,nenhum,0,m\u00e9dia,regular,bloco de concreto,regular,média,No,não finalizado,0,não finalizado,0,245,245,0,0,forno de ar quente a gás,média,N,disjuntores padrão e Romex,797,0,0,797,1,0,2,1,média,5,funcionalidade típica,0,NA,NA,NA,NA,0,0,NA,NA,N,0,36,94,0,0,0,NA,NA,NA,0,9,2009,WD ,venda anormal,44000
729,729,903200080,70,Residencial baixa densidade,144,21384,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Brookside,normal,normal,família única,dois andares,média,acima da média,1923,2004,duas águas,telha padrão (composto),tapume de madeira,tapume de madeira,nenhum,0,m\u00e9dia,média,bloco de concreto,média,média,exposição boa,alojamento bom,1309,não finalizado,0,15,1324,2,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1072,504,0,1576,1,1,3,1,boa,6,funcionalidade típica,1,média,anexada à casa,1923,acabamento grosseiro,2,528,média,média,Y,0,312,0,0,0,0,NA,NA,NA,0,5,2009,WD ,venda normal,223500
730,730,903201020,30,Residencial baixa densidade,NA,6615,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Brookside,normal,normal,família única,um andar,acima da média,acima da média,1923,1950,duas águas,telha padrão (composto),tapume de metal,tapume de metal,nenhum,0,m\u00e9dia,média,tijolo e telha,média,média,No,não finalizado,0,não finalizado,0,1022,1022,0,0,forno de ar quente a gás,média,N,caixa de fusíveis acima de 60 AMP e toda a fiação Romex (média),1432,0,0,1432,1,0,3,1,boa,6,funcionalidade típica,1,boa,embutida,1923,não terminada,1,216,regular,média,Y,266,61,0,0,0,0,NA,boa madeira,NA,0,9,2009,WD ,venda normal,149000
731,731,903201080,50,Residencial baixa densidade,55,7264,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Brookside,normal,normal,família única,um andar e meio (segundo nível terminado),boa,boa,1925,2007,duas águas,telha padrão (composto),tapume de madeira,tapume de madeira,nenhum,0,boa,boa,tijolo e telha,média,média,No,não finalizado,0,não finalizado,0,952,952,0,0,água quente a gás ou calor de vapor,boa,N,disjuntores padrão e Romex,952,596,0,1548,2,1,3,1,excelente,5,funcionalidade típica,0,NA,garagem não anexada à casa,1978,não terminada,2,672,média,média,Y,74,0,0,0,144,0,NA,NA,NA,0,10,2009,WD ,venda normal,205000
732,732,903202170,70,Residencial baixa densidade,50,4960,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Brookside,adjacente à ferrovia Norte-Sul,normal,família única,um andar e meio (segundo nível terminado),média,boa,1930,1982,duas águas,telha padrão (composto),telhas de madeira,Wd Shng,nenhum,0,m\u00e9dia,média,bloco de concreto,média,média,No,não finalizado,0,não finalizado,0,297,297,0,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1001,653,0,1654,2,0,3,1,média,7,funcionalidade típica,1,boa,garagem não anexada à casa,1955,não terminada,1,336,média,média,N,244,60,0,0,0,0,NA,NA,NA,0,5,2009,WD ,venda normal,137000
733,733,903205040,30,Residencial baixa densidade,NA,8854,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Brookside,normal,normal,família única,um andar e meio (segundo nível não terminado),acima da média,acima da média,1916,1950,duas águas,telha padrão (composto),tapume de madeira,tapume de madeira,nenhum,0,m\u00e9dia,média,tijolo e telha,média,média,No,não finalizado,0,não finalizado,0,952,952,0,0,forno de gravidade,regular,N,caixa de fusíveis de 60 AMP e principalmente fiação Romex (regular),952,0,0,952,1,0,2,1,regular,4,funcionalidade típica,1,boa,garagem não anexada à casa,1916,não terminada,1,192,regular,ruim,parcialmente pavimentada,0,98,0,0,40,0,NA,NA,NA,0,5,2009,WD ,venda normal,121000
734,734,903226130,50,Residencial média densidade,50,6000,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Brookside,normal,normal,família única,um andar e meio (segundo nível terminado),abaixo da média,acima da média,1936,1950,duas águas,telha padrão (composto),tapume de metal,tapume de metal,nenhum,0,m\u00e9dia,média,tijolo e telha,média,média,No,alojamento abaixo da média,672,não finalizado,0,0,672,0,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,757,567,0,1324,1,0,3,1,média,6,funcionalidade típica,0,NA,garagem não anexada à casa,1936,não terminada,1,240,média,média,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2009,WD ,venda normal,128000
735,735,903226170,50,Residencial média densidade,50,6000,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Brookside,normal,normal,família única,um andar e meio (segundo nível terminado),acima da média,excelente,1937,2000,duas águas,telha padrão (composto),tapume de metal,tapume de metal,nenhum,0,boa,média,tijolo e telha,média,média,No,não finalizado,0,não finalizado,0,698,698,0,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,786,390,0,1176,1,0,2,1,média,4,funcionalidade típica,0,NA,garagem não anexada à casa,1999,não terminada,2,624,média,média,N,210,0,0,0,0,0,NA,NA,NA,0,7,2009,WD ,venda normal,134900
736,736,903227070,50,Residencial média densidade,50,6000,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Brookside,normal,normal,família única,um andar e meio (segundo nível terminado),média,muito boa,1925,1997,duas águas,telha padrão (composto),tapume de madeira,tapume de madeira,nenhum,0,m\u00e9dia,média,tijolo e telha,média,média,No,não finalizado,0,não finalizado,0,884,884,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,884,464,0,1348,1,0,3,1,média,5,funcionalidade típica,1,regular,garagem não anexada à casa,1960,não terminada,1,216,média,média,N,0,0,208,0,0,0,NA,NA,NA,0,5,2009,WD ,venda normal,117000
737,737,903227090,50,Residencial média densidade,50,6000,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Brookside,normal,normal,família única,um andar e meio (segundo nível terminado),acima da média,acima da média,1939,1950,duas águas,telha padrão (composto),tapume de metal,tapume de metal,nenhum,0,m\u00e9dia,regular,bloco de concreto,média,média,No,não finalizado,0,não finalizado,0,780,780,0,0,forno de ar quente a gás,excelente,Y,caixa de fusíveis de 60 AMP e principalmente fiação Romex (regular),825,587,0,1412,1,0,4,1,média,6,funcionalidade típica,1,boa,garagem não anexada à casa,1939,não terminada,1,280,média,média,Y,45,0,0,0,0,0,NA,NA,NA,0,5,2009,WD ,venda normal,132500
738,738,903228070,50,Residencial média densidade,60,6000,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Brookside,normal,normal,família única,um andar e meio (segundo nível terminado),média,média,1924,1950,duas águas,telha padrão (composto),reboco,reboco,face de tijolo,444,m\u00e9dia,média,tijolo e telha,média,média,No,sala de recreação média,220,não finalizado,0,248,468,0,0,forno de ar quente a gás,boa,Y,disjuntores padrão e Romex,822,320,0,1142,1,0,3,1,média,6,funcionalidade típica,0,NA,anexada à casa,1924,terminada,1,320,média,média,Y,0,0,98,0,0,0,NA,NA,NA,0,6,2009,WD ,venda normal,93000
739,739,903228120,45,Residencial média densidade,50,6000,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Brookside,normal,normal,família única,um andar e meio (segundo nível não terminado),acima da média,boa,1926,2004,duas águas,telha padrão (composto),tapume de madeira,tapume de madeira,nenhum,0,boa,média,concreto derrramado,média,média,No,não finalizado,0,não finalizado,0,884,884,0,0,forno de ar quente a gás,boa,Y,disjuntores padrão e Romex,904,0,0,904,1,0,2,1,média,4,funcionalidade típica,0,NA,garagem não anexada à casa,1926,não terminada,1,180,média,média,Y,0,0,105,0,0,0,NA,NA,NA,0,1,2009,WD ,venda normal,119000
